food_category_id,name,subname,priority,reference_amount,calorie,protein,fat,carbohydrate,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c
1,フランスパン,,0,1.00,289.000,8.600,1.100,55.800,110.000,16.000,22.000,72.000,0.900,0.800,0.140,0.390,0.000,29.000,1.000,20.000,0.000,0.000,0.100,0.000,0.080,0.050,2.900,0.040,0.000,33.000,0.450,1.900,0.000
1,ベーグル,,0,1.00,270.000,8.200,1.900,53.600,97.000,24.000,24.000,81.000,1.300,0.700,0.110,0.450,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.190,0.080,3.700,0.060,0.000,47.000,0.280,0.000,0.000
1,ポップコーン,,0,1.00,472.000,8.700,21.700,52.800,300.000,7.000,95.000,290.000,4.300,2.400,0.200,0.000,0.000,0.000,0.000,0.000,15.000,0.000,3.000,0.000,0.130,0.080,3.200,0.270,0.000,22.000,0.460,0.000,0.000
1,マカロニ・スパゲッティ,ゆで,10,1.00,150.000,5.300,0.700,29.700,14.000,8.000,20.000,53.000,0.700,0.700,0.140,0.350,0.000,32.000,1.000,13.000,0.000,0.000,0.100,0.000,0.060,0.030,1.700,0.020,0.000,4.000,0.280,1.600,0.000
1,もち,,0,1.00,223.000,3.600,0.500,50.800,32.000,3.000,6.000,22.000,0.100,0.900,0.130,0.580,0.000,2.000,0.000,56.000,0.000,0.000,0.000,0.000,0.030,0.010,1.200,0.030,0.000,4.000,0.340,0.600,0.000
1,もろこし,玄穀,0,1.00,344.000,9.000,4.700,62.700,590.000,16.000,160.000,430.000,3.300,2.700,0.440,1.630,1.000,1.000,1.000,34.000,0.000,0.000,0.500,0.000,0.350,0.100,8.000,0.310,0.000,54.000,1.420,15.000,0.000
1,もろこし,精白粒,0,1.00,348.000,8.000,2.300,71.500,410.000,14.000,110.000,290.000,2.400,1.300,0.210,1.120,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.100,0.030,5.000,0.240,0.000,29.000,0.660,0.000,0.000
1,ライスペーパー,,0,1.00,339.000,0.400,0.200,83.700,22.000,21.000,21.000,12.000,1.200,0.100,0.030,0.140,6.000,0.000,18.000,3.000,0.000,0.000,0.000,0.000,0.010,0.000,0.200,0.010,0.300,3.000,0.020,0.200,0.000
1,ライむぎ,全粒粉,0,1.00,317.000,10.800,2.000,60.000,400.000,31.000,100.000,290.000,3.500,3.500,0.440,2.150,0.000,2.000,1.000,65.000,0.000,0.000,1.000,0.000,0.470,0.200,4.200,0.220,0.000,65.000,0.870,9.500,0.000
1,ライむぎ,ライ麦粉,0,1.00,324.000,7.800,1.200,64.000,140.000,25.000,30.000,140.000,1.500,0.700,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.700,0.000,0.150,0.070,2.600,0.100,0.000,34.000,0.630,0.000,0.000
1,ライ麦パン,,0,1.00,252.000,6.700,2.000,49.000,190.000,16.000,40.000,130.000,1.400,1.300,0.180,0.870,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.160,0.060,2.700,0.090,0.000,34.000,0.460,0.000,0.000
1,ロールパン,,0,1.00,309.000,8.500,8.500,48.600,110.000,44.000,22.000,97.000,0.700,0.800,0.120,0.290,0.000,0.000,0.000,0.000,1.000,0.100,0.500,0.000,0.100,0.060,3.100,0.030,0.000,38.000,0.610,0.000,0.000
1,押麦,乾,0,1.00,329.000,5.900,1.200,67.200,210.000,21.000,40.000,160.000,1.100,1.100,0.220,0.860,0.000,1.000,0.000,11.000,0.000,0.000,0.100,0.000,0.110,0.030,5.000,0.130,0.000,10.000,0.400,2.700,0.000
1,押麦,めし,0,1.00,118.000,2.000,0.400,24.600,38.000,6.000,10.000,46.000,0.400,0.400,0.080,0.240,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.020,0.000,1.300,0.030,0.000,3.000,0.130,0.800,0.000
